File created on Friday 20th of July 2012 03:07:09 AM
Name           HD      RA            DEC           Magn
r Pup          68980   +08 13 29.5   -35 53 58.3   4.81
V518 Car       92938   +10 42 14.1   -64 27 59.1   4.82
25 Ori         35439   +05 24 44.8   +01 50 47.2   4.87
12 Vul         187811  +19 51 04.1   +22 36 36.2   4.89
28 Cyg         191610  +20 09 25.6   +36 50 22.6   4.93
48 Lib         142983  +15 58 11.4   -14 16 45.7   4.94
HD 24479       24479   +03 57 25.4   +63 04 20.2   4.95
69 Ori         42545   +06 12 03.3   +16 07 49.5   4.95
kap Aql        184915  +19 36 53.4   -07 01 38.9   4.96
19 Mon         52918   +07 02 54.8   -04 14 21.2   4.99
53 Boo         138629  +15 31 47.0   +40 53 57.6   5.00
4 Aql          173370  +18 44 49.9   +02 03 36.1   5.01
11 Cam         32343   +05 06 08.5   +58 58 20.5   5.03
16 Peg         208057  +21 53 03.8   +25 55 30.5   5.08
43 Ori         37041   +05 35 22.9   -05 24 57.8   5.08
bet Cyg B      183914  +19 30 45.4   +27 57 55.0   5.09
25 Cyg         189687  +19 59 55.2   +37 02 34.4   5.14
6 Cep          203467  +21 19 22.2   +64 52 18.7   5.19
FW CMa         58343   +07 24 40.2   -16 12 05.3   5.20
zet Crv        107348  +12 20 33.6   -22 12 57.2   5.22
iot Lyr        178475  +19 07 18.1   +36 06 00.6   5.25
V696 Mon       41335   +06 04 13.5   -06 42 32.2   5.25
HD 112028      112028  +12 49 13.7   +83 24 46.4   5.31
18 And         222304  +23 39 08.3   +50 28 18.2   5.35
60 Cyg         200310  +21 01 10.9   +46 09 20.8   5.42
EW Lac         217050  +22 57 04.5   +48 41 02.6   5.42
HD 36408       36408   +05 32 14.1   +17 03 29.3   5.46
25 Vul         193911  +20 22 03.4   +24 26 46.0   5.52
64 Ser         175869  +18 57 16.6   +02 32 07.2   5.56
10 Cas         144     +00 06 26.5   +64 11 46.2   5.57
HD 47054       47054   +06 36 35.3   -05 12 40.1   5.57
tet Ari        14191   +02 18 07.5   +19 54 04.2   5.58
HD 21362       21362   +03 28 52.3   +49 50 54.2   5.58
FR CMa         44458   +06 21 24.7   -11 46 23.7   5.59
HD 91120       91120   +10 30 59.8   -13 35 18.5   5.59
V1075 Sco      155806  +17 15 19.2   -33 32 54.3   5.61
eta PsA        209014  +22 00 50.2   -28 27 13.4   5.62
V378 Pup       60855   +07 36 03.9   -14 29 34.0   5.66
120 Tau        36576   +05 33 31.6   +18 32 24.8   5.67
13 Tau         23016   +03 42 18.9   +19 42 00.9   5.68
HD 169033      169033  +18 23 12.2   -12 00 53.1   5.71
FV CMa         54309   +07 07 22.6   -23 50 26.6   5.71
8 Lac A        214167  +22 35 52.3   +39 38 03.6   5.73
4 Her          142926  +15 55 30.6   +42 33 58.3   5.74
25 Peg         210129  +22 07 50.3   +21 42 10.5   5.78
HD 50658       50658   +06 56 32.1   +46 16 26.4   5.84
V2119 Cyg      194335  +20 23 44.4   +37 28 35.2   5.86
HD 195554      195554  +20 29 27.1   +56 04 05.5   5.89
CX Dra         174237  +18 46 43.1   +52 59 16.7   5.90
20 Vul         192044  +20 12 00.7   +26 28 43.7   5.90
14 Lac         216200  +22 50 21.8   +41 57 12.2   5.93
HD 208682      208682  +21 55 31.0   +65 19 14.9   5.94
HD 43544       43544   +06 16 07.7   -16 37 04.8   5.96
5 Cnc          65873   +08 01 30.3   +16 27 19.1   5.98
11 Cyg         185037  +19 35 48.3   +36 56 40.3   6.03
HD 42477       42477   +06 11 27.9   +13 38 18.8   6.04
HD 174179      174179  +18 47 57.4   +31 45 24.6   6.05
HD 43285       43285   +06 15 40.2   +06 03 58.2   6.05
AN Col         35165   +05 21 16.9   -34 20 42.2   6.07
V923 Aql       183656  +19 30 33.1   +03 26 39.9   6.09
HD 29866       29866   +04 44 13.0   +40 47 11.2   6.10
HD 32188       32188   +05 03 18.6   +41 26 29.9   6.12
HD 44996       44996   +06 24 20.6   -12 57 43.0   6.12
HD 45995       45995   +06 31 09.6   +11 15 05.0   6.14
HD 194244      194244  +20 24 37.5   +01 04 06.3   6.14
NW Ser         168797  +18 21 28.4   +05 26 08.6   6.15
V986 Oph       165174  +18 04 37.4   +01 55 08.4   6.15
HD 205551      205551  +21 34 27.5   +51 41 54.5   6.16
HD 37971       37971   +05 41 41.5   -16 43 33.0   6.20
OY Hya         86612   +09 59 06.3   -23 57 02.8   6.21
HD 196712      196712  +20 39 13.3   -02 24 46.7   6.22
HD 21455       21455   +03 29 26.3   +46 56 16.3   6.23
HD 44783       44783   +06 24 02.3   +08 53 06.1   6.24
HD 50820       50820   +06 54 42.0   -01 45 23.3   6.27
CQ UMa         119213  +13 40 21.4   +57 12 27.4   6.29
HD 21620       21620   +03 31 29.3   +49 12 35.2   6.29
V558 Lyr       183362  +19 27 36.4   +37 56 28.3   6.29
V2136 Cyg      198625  +20 49 54.6   +46 39 40.8   6.33
HD 79066       79066   +09 11 55.6   +05 28 07.1   6.35
HD 57682       57682   +07 22 02.1   -08 58 45.8   6.40
V974 Her       164447  +18 00 27.7   +19 30 20.8   6.41
V421 Cep       203025  +21 17 18.8   +58 36 41.3   6.43
OT Gem         58050   +07 24 27.6   +15 31 01.9   6.45
8 Lac B        214168  +22 35 52.1   +39 37 41.3   6.48
V1339 Aql      187567  +19 50 17.5   +07 54 08.7   6.48
HD 201836      201836  +21 10 31.0   +47 41 32.0   6.49
HD 70340       70340   +08 21 20.3   -01 36 07.3   6.50
HD 61224       61224   +07 37 38.8   -14 26 26.7   6.53
V532 Lyr       171406  +18 33 23.0   +30 53 31.5   6.54
HD 193182      193182  +20 17 25.2   +39 35 36.7   6.55
V378 And       217543  +23 00 54.7   +38 42 28.2   6.56
HD 181409      181409  +19 19 03.7   +33 23 19.7   6.57
GU CMa         52721   +07 01 49.5   -11 18 03.3   6.58
V743 Mon       50138   +06 51 33.4   -06 57 59.4   6.58
