n°HD  RA_h RA_m RA_s  DEC_d DEC_m DEC_s  Mv
4991  21 4 24.3  -19 51 18  4.84
5015  0 53 04.1  61 7 27  4.82
5021  21 28 39.6  70 33 39  3.23
5042  0 51 52.1  -43 42 33  6.90
5043  12 5 39.7  62 55 59  6.13
5066  0 52 53.4  38 32 55  6.69
5072  21 24 49.7  80 31 29  5.97
5087  21 32 27.1  23 23 40  6.70
5098  0 52 40.6  -24 0 21  5.46
5112  0 53 00.5  -1 8 39  4.77
5114  21 31 27.5  52 37 12  6.16
5118  0 53 28.2  37 25 5  6.06
5128  0 53 47.6  52 41 21  6.27
5139  21 30 59.3  60 27 34  5.53
5156  0 53 12.4  -24 46 37  6.46
5190  0 52 24.3  -69 30 16  6.22
5234  0 55 00.1  58 58 22  4.83
5252  21 9 22.3  -73 10 23  5.68
5267  0 54 35.2  19 11 18  5.74
5268  0 54 17.6  -8 44 27  6.16
5273  0 55 05.2  48 40 43  6.27
5276  0 53 37.9  -62 52 17  5.70
5286  0 54 58.0  23 37 42  5.47
5314  21 32 56.6  49 58 40  5.75
5316  0 55 14.7  24 33 25  6.20
5343  0 56 12.9  57 59 48  6.21
5349  21 33 17.9  45 51 15  6.25
5357  0 56 55.6  68 46 34  6.37
5382  0 55 58.5  27 12 34  6.09
5384  0 55 42.4  -7 20 50  5.85
5394  0 56 42.5  60 43 0  2.47
5395  0 56 39.8  59 10 52  4.63
5408  0 56 47.1  60 21 46  5.55
5420  21 34 34.0  22 45 17  6.47
5435  21 33 58.9  45 35 31  4.02
5437  0 56 01.5  -11 16 0  5.31
5445  0 55 55.5  -27 46 32  6.10
5448  0 56 45.2  38 29 58  3.87
5457  0 55 00.3  -69 31 37  5.45
5512  21 34 46.6  38 32 3  4.90
5516  0 57 12.4  23 25 3  4.42
5526  0 57 39.7  45 50 23  6.12
5539  21 35 19.0  28 11 50  6.31
5541  21 35 27.0  24 27 8  6.11
5550  0 58 31.1  66 21 8  5.97
5551  21 34 27.5  51 41 54  6.15
5575  0 57 50.2  28 59 32  5.42
5608  0 58 14.2  33 57 3  5.98
5612  0 57 54.5  13 41 45  6.32
5631  11 34 22.0  3 3 36  5.77
5641  0 58 18.9  21 24 16  6.37
5678  12 9 47.3  74 39 41  6.35
5688  21 36 13.9  30 3 20  6.36
5715  1 0 31.0  70 58 59  6.39
5722  0 58 43.9  -11 22 48  5.61
5730  21 36 02.4  45 22 29  5.53
5737  0 58 36.4  -29 21 27  4.31
5771  0 58 22.4  -60 41 47  6.23
5778  12 10 31.6  16 48 33  6.39
5788  1 0 03.4  44 42 40  6.84
