n°HD  RA_h RA_m RA_s  DEC_d DEC_m DEC_s  Mv
583461  7 24 17.2  -22 54 46  6.19
583501  7 24 05.7  -29 18 11  2.45
583521  17 28 49.7  0 19 50  5.44
583671  7 25 38.9  9 16 34  4.99
584082  17 30 45.8  -37 17 45  2.69
584201  7 23 58.3  -35 50 16  6.31
584272  17 31 50.5  -49 52 34  2.95
584391  7 24 50.7  -19 0 44  6.24
584611  7 25 08.3  -13 45 7  5.78
584631  17 29 47.4  -5 55 11  6.37
584762  17 31 49.1  -46 2 11  6.03
585261  7 25 51.0  -5 46 30  5.97
585351  7 24 43.8  -31 48 32  5.35
585801  7 26 03.5  -4 32 15  6.76
585851  7 25 19.9  -21 58 58  6.05
586121  7 25 25.3  -25 13 4  5.78
586141  17 30 23.8  -1 3 45  5.31
586192  17 31 47.4  -33 42 10  6.44
586341  7 24 47.2  -37 17 24  6.97
586351  7 24 47.3  -37 17 27  6.84
586431  17 31 25.0  -23 57 46  4.81
587041  17 31 44.4  -26 16 11  6.05
587151  7 27 09.0  8 17 22  2.90
587161  17 30 22.4  11 55 30  6.39
587412  17 32 24.5  -34 16 47  6.17
587661  7 25 43.0  -31 44 19  6.31
587992  17 33 07.4  -41 10 25  5.84
588052  6 46 58.7  -87 1 30  6.47
588371  17 31 21.3  2 43 28  5.59
588952  17 35 34.9  -59 50 46  6.28
589071  7 26 40.7  -23 42 44  6.56
589231  7 28 02.1  6 56 31  5.25
589262  17 33 36.5  -37 6 14  1.63
589541  7 27 08.0  -17 51 52  5.63
589721  7 28 09.8  8 55 32  4.32
589781  7 26 59.4  -23 5 10  5.61
590182  17 35 20.0  -53 21 10  6.10
590261  7 26 42.3  -34 8 27  5.90
590671  7 27 51.7  -11 33 25  5.79
590821  17 32 15.0  11 55 49  6.42
591361  7 27 42.9  -22 51 35  5.95
591701  17 33 29.9  -5 44 41  5.62
591762  17 34 42.5  -32 34 54  5.70
592172  17 35 39.6  -46 30 20  4.59
592192  7 26 21.9  -51 1 6  5.10
592561  7 27 59.2  -29 9 21  5.54
593111  7 29 18.7  -1 54 19  5.59
593122  17 35 43.0  -37 26 24  6.48
593321  17 33 22.8  19 15 24  5.64
593531  17 33 39.4  16 19 3  5.69
593541  17 33 42.8  14 50 30  6.48
593581  17 34 46.4  -11 14 31  5.55
593761  17 35 18.5  -22 2 38  6.57
593801  7 29 25.7  -7 33 4  5.86
593811  7 29 22.1  -10 19 36  5.75
594332  17 36 32.8  -38 38 7  4.29
594381  7 29 21.9  -14 59 57  6.05
594632  17 37 27.2  -50 3 36  5.93
594661  7 28 22.8  -37 48 37  6.58
594801  17 34 36.7  9 35 12  5.81
594922  17 38 05.6  -54 30 1  5.25
594991  7 28 51.3  -31 50 54  6.38
595001  7 28 51.5  -31 50 49  7.13
595031  17 34 27.2  16 30 14  6.40
595172  18 1 34.1  -85 12 53  6.45
595322  17 37 19.2  -42 59 52  1.87
595501  7 29 04.9  -31 27 23  5.77
595611  17 34 56.1  12 33 36  2.08
596121  7 29 51.4  -23 1 28  4.85
596332  17 37 26.8  -38 3 56  6.26
596351  7 29 05.7  -38 48 44  5.43
596691  7 30 51.1  -5 13 35  6.24
597072  17 38 08.5  -42 52 50  6.10
597172  7 29 13.8  -43 18 5  3.25
598761  17 37 35.2  -15 23 55  3.54
598771  17 37 36.2  -15 34 16  5.94
598811  7 32 05.9  1 54 52  5.25
598901  7 30 42.5  -30 57 44  4.65
599642  17 44 19.7  -72 13 15  6.49
599671  7 30 42.4  -37 20 23  6.65
599751  17 37 50.7  -8 7 8  4.62
599841  7 32 05.8  -8 52 51  5.90
600181  17 38 09.5  -10 55 35  5.75
600322  17 40 23.6  -49 24 56  4.77
600602  7 29 59.6  -52 39 4  5.87
600981  7 31 25.8  -36 9 10  6.68
601111  7 33 11.6  3 17 25  5.59
601502  7 28 51.3  -64 30 36  6.39
601681  7 31 42.8  -35 53 16  6.61
602282  7 30 30.9  -54 23 58  5.96
602632  17 41 16.3  -46 55 19  5.79
603121  7 32 22.3  -35 57 41  6.3
603151  17 39 08.5  2 1 41  6.26
603251  7 33 22.1  -14 20 18  6.21
603411  7 33 19.5  -19 24 45  5.66
603422  17 42 03.9  -50 30 38  6.24
603451  7 33 09.7  -24 42 39  5.85
603571  7 34 15.8  3 22 17  5.81
603651  17 38 57.8  13 19 45  6.12
604141  7 33 47.9  -14 31 26  4.97
604711  17 40 11.8  -2 9 9  6.19
604891  7 34 46.0  2 43 30  6.55
605321  7 34 03.2  -22 17 46  4.45
605591  7 33 13.5  -40 3 32  6.26
605742  7 33 13.3  -43 5 11  6.52
605782  17 42 29.3  -39 1 48  2.41
605841  7 34 18.6  -23 28 25  5.83
605851  7 34 19.1  -23 28 29  5.87
606061  7 33 51.0  -36 20 18  5.54
606131  17 41 24.9  -12 52 31  4.26
606291  7 34 28.8  -26 7 0  6.65
606352  17 45 44.0  -64 43 26  3.62
606461  7 34 12.8  -33 27 48  6.11
606661  7 34 34.9  -27 0 43  5.77
606682  17 42 51.0  -36 56 45  5.54
606861  7 33 58.5  -39 54 21  6.76
606912  17 44 08.7  -51 50 3  5.15
607202  17 44 55.8  -57 32 43  6.01
607482  17 43 06.9  -33 3 4  6.40
607651  17 41 11.0  15 10 41  6.34
607811  17 41 32.3  6 18 46  5.95
608031  7 36 34.7  5 51 42  5.91
608162  7 25 38.0  -79 5 39  5.53
608391  17 43 17.8  -27 53 3  6.36
608531  7 36 16.6  -8 18 41  6.27
608551  7 36 03.9  -14 29 34  5.70
608631  7 35 22.8  -28 22 10  4.64
609101  17 41 58.7  15 57 7  5.52
609151  17 43 25.8  -21 41 0  4.87
609282  17 44 42.0  -42 43 44  5.87
609511  7 36 07.8  -22 9 38  6.34
610231  17 43 48.6  -13 30 31  6.39
610312  7 34 39.5  -51 28 29  6.28
610561  17 43 47.0  -7 4 46  6.30
610641  7 37 16.7  -4 6 40  5.13
610681  7 36 41.0  -19 42 8  5.74
610961  17 43 28.4  4 34 2  2.77
611491  17 43 22.0  14 17 42  6.24
612241  7 37 38.9  -14 26 28  6.53
612271  7 37 16.8  -23 46 30  6.37
612482  7 35 39.7  -52 32 2  4.94
612701  17 44 34.0  2 34 46  6.17
612891  17 44 35.4  2 34 44  6.56
613211  17 44 17.3  14 24 37  6.19
613301  7 37 22.1  -34 58 7  4.53
613902  17 47 07.3  -38 6 42  6.43
613912  7 36 43.9  -48 49 49  5.72
613942  7 36 01.7  -55 53 15  6.39
614091  7 37 44.8  -35 16 38  6.60
614202  17 48 38.1  -55 24 6  6.11
614211  7 39 18.1  5 13 30  0.38
614291  7 38 18.0  -25 21 53  4.70
614531  7 37 45.2  -38 0 38  6.38
614712  17 47 35.1  -40 7 37  3.03
615541  7 39 07.1  -18 40 45  6.72
615551  7 38 49.3  -26 48 6  4.50
615561  7 38 49.8  -26 48 13  4.62
615631  7 40 07.0  5 13 51  6.02
615921  17 47 33.6  -27 49 51  4.54
616231  7 38 24.2  -39 59 29  6.59
616411  7 38 43.9  -36 29 49  5.80
616421  7 38 32.6  -38 46 52  6.19
616641  17 47 45.6  -22 28 41  6.18
616721  7 39 26.9  -26 51 47  6.50
617011  17 47 36.8  -14 43 33  5.94
617152  7 38 18.2  -48 36 4  5.68
617491  7 40 35.5  -8 11 9  6.01
617561  17 48 27.8  -26 58 30  6.35
617721  7 40 23.2  -15 15 49  4.94
617741  7 40 13.6  -19 39 39  5.93
617832  17 50 28.2  -53 36 44  5.92
618142  17 51 35.5  -60 9 52  5.78
618311  7 39 27.4  -38 18 30  4.84
618331  17 47 08.0  17 41 50  5.72
618402  17 49 10.5  -31 42 12  4.83
618681  17 47 53.6  2 42 26  3.75
618781  7 39 43.8  -38 8 22  5.73
618871  7 41 35.2  3 37 29  5.94
618922  17 49 51.5  -37 2 36  3.21
618991  7 39 47.8  -38 15 39  5.76
619122  17 50 11.2  -40 5 26  4.81
619172  17 51 11.0  -53 7 50  6.09
619251  7 39 58.0  -37 34 46  6.00
619351  7 41 14.8  -9 33 4  3.93
619411  17 48 20.2  3 48 15  6.22
619552  17 53 18.4  -65 29 21  6.49
619662  7 39 00.4  -53 16 24  6.06
619871  7 40 43.4  -27 56 45  6.76
619882  17 57 41.8  -76 10 39  6.07
620581  7 40 52.7  -31 39 39  6.56
620821  7 41 23.6  -22 20 14  6.18
621131  17 49 18.9  1 57 40  6.47
621232  17 51 44.5  -45 36 2  6.11
621532  7 35 21.7  -74 16 32  7.16
621611  17 48 47.9  19 15 19  6.12
621892  17 51 32.8  -40 46 21  5.96
622202  17 51 12.5  -30 33 26  6.66
622261  7 41 15.8  -38 32 1  5.42
622641  7 43 05.4  0 11 22  6.19
623182  7 41 21.8  -44 37 56  6.41
623372  18 5 26.7  -81 29 11  6.35
623742  17 52 13.6  -34 47 57  5.90
623761  7 41 58.0  -38 31 44  6.54
623912  17 52 19.7  -34 25 0  5.84
623962  17 52 52.7  -41 59 48  6.20
624121  7 42 48.1  -26 21 4  5.64
624371  7 44 07.4  2 24 18  6.47
624681  17 50 43.5  11 56 48  6.17
624962  17 52 49.2  -34 6 51  6.06
625152  17 52 55.9  -35 1 7  6.45
625172  17 52 57.9  -35 37 27  6.03
625551  7 43 39.1  -25 30 14  6.55
625761  7 43 32.4  -28 24 40  4.59
625781  7 43 12.0  -36 3 1  5.60
625862  17 53 19.6  -34 43 50  6.17
625872  17 53 23.3  -34 53 43  5.60
625951  7 43 07.0  -38 51 51  6.89
625961  17 51 59.5  -1 14 12  6.35
626231  7 43 48.5  -28 57 17  3.96
626442  7 42 57.2  -45 10 24  5.06
626782  17 53 45.5  -34 47 9  6.38
626892  7 36 04.2  -77 38 3  6.18
627121  7 43 42.9  -38 12 7  6.40
627132  7 43 41.9  -40 56 2  5.17
627141  17 52 38.8  -6 8 37  6.21
627242  17 53 54.9  -34 45 9  5.96
627252  17 53 58.1  -34 49 54  6.42
627341  17 51 58.5  15 19 33  6.46
627471  7 44 34.0  -24 40 26  5.62
627562  7 43 06.9  -49 59 34  6.57
627571  17 53 03.6  -10 53 59  6.18
627582  7 42 10.2  -58 37 51  6.43
627741  17 52 35.4  1 18 18  5.95
627811  7 44 09.6  -36 3 46  5.80
628172  17 54 27.2  -34 27 59  5.96
628631  7 45 28.7  -14 41 10  6.89
628641  7 45 29.1  -14 41 27  6.07
628931  7 44 34.2  -37 56 35  5.88
628972  7 42 53.3  -58 13 48  6.21
629021  7 46 02.2  -6 46 21  5.49
629171  17 53 14.2  6 6 5  5.77
629262  17 55 07.9  -36 28 33  6.06
629521  7 45 56.9  -14 33 50  5.04
629781  17 54 54.0  -24 53 14  6.20
629911  7 45 04.6  -37 53 16  6.54
630321  7 45 15.3  -37 58 7  3.61
630771  7 45 35.0  -34 10 23  5.37
631121  7 46 44.9  -12 40 31  6.39
631182  7 45 18.1  -43 45 8  6.03
631452  17 56 47.4  -44 20 32  4.86
631511  17 54 14.2  11 7 50  6.38
632151  7 46 10.4  -37 56 2  5.88
632342  17 56 55.8  -40 18 20  6.43
632451  17 55 55.0  -18 48 8  6.52
632711  7 47 12.5  -22 31 11  5.90
632952  7 41 49.2  -72 36 22  3.95
633021  7 47 38.5  -15 59 27  6.34
633081  7 46 33.4  -40 3 35  6.57
633181  17 56 41.9  -28 3 55  5.80
633231  7 47 45.2  -16 0 52  6.43
633361  7 47 56.7  -12 11 35  5.48
633361  17 56 19.0  -15 48 45  5.89
633762  17 57 47.7  -41 42 58  4.88
633822  7 45 35.6  -56 43 21  6.12
634011  7 47 05.8  -39 19 53  6.31
634332  17 57 57.8  -39 8 13  6.29
634351  7 48 58.9  4 19 58  6.53
634621  7 48 05.2  -25 56 14  4.50
634651  7 47 25.0  -38 30 40  5.08
634721  17 56 18.4  0 40 13  5.82
635132  7 44 43.9  -66 4 19  6.38
635321  17 56 47.7  -4 4 55  5.47
635782  7 47 31.5  -46 36 31  5.23
635842  7 44 13.0  -69 49 17  6.18
636241  17 57 04.3  0 3 59  5.97
636402  7 48 08.5  -40 39 8  6.14
636411  17 56 56.0  6 29 16  6.29
636522  17 58 55.6  -36 51 30  5.74
636551  7 49 28.6  -13 21 12  6.23
636601  7 49 01.7  -24 54 44  5.33
636851  17 58 39.1  -28 45 33  6.01
636971  7 49 41.2  -17 13 42  5.18
637001  7 49 17.7  -24 51 35  3.34
637442  7 48 20.3  -47 4 40  4.71
637521  7 50 10.6  -9 11 0  5.61
637541  7 49 45.2  -20 12 25  6.56
637562  17 59 05.5  -30 15 12  7.04
637721  17 57 26.9  11 2 39  6.36
637861  7 49 14.7  -35 14 36  5.93
637991  7 50 47.4  3 16 38  6.18
638221  7 50 05.7  -19 31 25  6.12
638521  7 49 35.4  -33 17 20  5.60
638941  7 50 55.2  -11 7 43  6.16
639171  17 59 01.6  -9 46 25  3.34
639222  7 49 14.3  -46 22 24  4.11
639262  7 48 19.2  -56 28 16  6.33
639482  7 49 28.2  -44 45 7  6.32
639492  7 49 12.9  -46 51 28  5.84
639551  17 59 47.6  -23 48 58  4.76
639751  7 51 42.0  1 46 1  5.14
640281  18 0 00.1  -20 20 21  6.21
640421  7 51 00.0  -24 31 42  6.45
640521  7 52 07.2  3 16 38  6.31
640641  17 59 36.7  -4 49 17  5.87
640672  7 49 06.7  -56 24 38  5.59
640771  7 51 40.9  -12 49 10  6.36
640961  7 51 46.3  -13 53 53  5.17
641521  7 51 42.9  -21 10 26  5.63
641812  7 50 42.4  -44 34 47  6.45
641852  7 49 12.9  -60 17 1  5.78
642252  7 50 23.9  -50 30 35  5.91
642351  7 52 47.9  -5 25 41  5.76
642381  7 52 18.9  -14 50 47  5.69
642452  18 1 48.3  -36 22 40  6.30
642581  18 0 15.5  0 37 46  6.37
642591  18 0 29.0  -3 41 25  4.62
642841  18 0 15.8  4 22 7  4.64
642872  7 51 20.5  -43 5 44  6.32
643202  7 49 54.8  -60 3 4  6.72
643491  18 0 03.4  16 45 3  4.67
643531  18 0 38.7  2 55 54  3.97
643581  18 1 23.1  -17 9 25  6.28
643652  7 51 40.3  -42 53 18  6.04
643791  7 52 15.7  -34 42 19  5.01
644021  18 1 54.4  -22 46 50  5.77
644321  18 0 52.9  6 16 6  6.34
644402  7 52 13.0  -40 34 33  3.73
644471  18 0 27.7  19 30 21  6.50
644612  18 54 46.9  -87 36 21  5.28
644842  7 49 41.0  -66 11 45  5.79
645031  7 52 38.7  -38 51 47  4.49
645071  18 0 57.2  15 5 36  6.26
645721  7 53 03.5  -36 21 50  5.43
645771  18 1 45.2  1 18 19  4.45
645841  18 2 51.1  -24 16 56  5.34
646371  18 3 01.7  -22 43 6  6.74
646851  7 55 31.4  8 51 46  5.86
647122  18 11 15.7  -75 53 29  5.86
647161  18 2 46.3  -5 21 31  6.76
647222  7 52 29.7  -54 22 2  5.70
647402  7 53 03.7  -49 36 47  4.63
647602  7 53 18.2  -48 6 11  4.24
647641  18 3 05.0  -8 10 49  5.94
647651  18 3 04.9  -8 10 50  5.24
647941  18 3 52.4  -24 21 38  5.97
648021  7 54 11.0  -35 52 39  5.49
648702  18 4 50.4  -35 54 5  6.00
648712  18 7 48.3  -64 33 0  6.41
648761  7 54 39.9  -34 50 49  6.15
649381  7 56 23.9  4 29 9  6.17
649741  7 55 13.7  -30 55 3  6.44
649751  18 5 01.3  -29 34 48  4.69
650242  18 6 37.9  -50 5 30  3.66
650291  18 3 14.7  19 36 47  6.50
650402  18 8 34.8  -63 40 6  4.35
650661  7 57 15.9  8 38 29  6.05
651231  7 57 16.2  1 7 37  6.35
651352  18 5 48.5  -30 25 27  2.99
651741  18 4 37.3  1 55 9  6.14
651831  7 56 22.8  -30 17 7  6.33
651852  18 6 23.7  -36 1 11  5.95
651892  7 55 00.5  -52 34 59  6.38
651892  18 6 49.8  -43 25 29  5.77
652112  7 55 46.5  -43 50 42  6.02
652281  7 56 51.5  -22 52 48  4.20
652411  7 58 05.8  7 12 49  6.41
652592  18 12 34.5  -73 40 18  5.85
652732  7 54 53.2  -57 18 11  5.63
653152  7 56 24.3  -40 44 11  6.78
653411  18 5 27.3  2 29 58  4.03
653451  7 58 20.6  2 13 29  5.29
654021  18 6 07.4  -8 19 26  5.85
654381  18 6 15.2  -4 45 5  5.77
654422  7 56 57.9  -42 24 22  6.09
654561  7 57 40.1  -30 20 5  4.79
654602  7 56 57.9  -43 30 1  5.35
654621  18 6 07.4  0 26 48  6.34
654751  18 5 43.3  12 0 14  7.04
654932  18 8 30.1  -45 46 2  6.15
654972  18 9 57.6  -59 2 24  6.38
654992  18 10 26.1  -62 0 8  5.49
655161  18 7 11.4  -21 26 38  6.28
655512  7 57 18.4  -44 6 35  5.09
655752  7 56 46.7  -52 58 56  3.47
655982  7 57 20.0  -47 53 25  6.22
656341  18 8 05.0  -28 27 26  4.57
656622  7 56 18.6  -60 31 35  5.74
656852  7 57 51.8  -45 34 40  5.17
656871  18 7 48.4  -17 9 15  5.52
656951  7 59 44.1  -3 40 47  4.93
656991  7 59 05.7  -23 18 38  5.11
657502  7 56 50.7  -59 7 35  6.25
657601  18 7 18.4  8 44 2  4.64
657771  18 7 21.0  9 33 50  3.73
657932  18 9 22.4  -36 40 21  6.58
658101  7 59 52.0  -18 23 57  4.61
658141  18 8 54.1  -25 28 21  6.61
658182  7 58 14.4  -49 14 42  4.41
658612  18 14 24.1  -70 45 5  6.73
658672  7 58 21.4  -51 26 55  6.44
658751  8 0 44.1  -2 52 54  6.51
659001  8 1 13.8  4 52 47  5.65
659042  7 59 01.8  -45 12 58  5.99
659072  7 57 46.9  -60 18 12  5.60
659082  7 57 12.5  -63 17 49  6.14
659101  18 7 48.4  13 4 16  6.63
659251  7 59 28.4  -39 17 50  5.24
659531  8 1 13.3  -1 23 33  4.68
659782  18 9 59.9  -32 43 11  6.43
660052  7 59 12.3  -49 58 36  6.32
660062  7 59 13.4  -49 58 25  6.34
660062  18 11 04.5  -47 30 47  6.07
660111  8 1 50.7  8 54 50  6.22
660232  18 10 05.7  -30 43 43  5.53
660632  18 11 13.8  -45 57 16  4.53
660951  18 8 33.7  14 17 5  6.37
661031  18 9 43.4  -13 56 4  6.39
661142  18 11 05.6  -41 21 33  5.86
661411  8 2 15.9  2 20 4  4.39
661902  8 0 19.6  -45 27 25  6.61
661942  7 58 50.5  -60 49 28  5.81
661972  18 10 55.2  -33 47 59  6.16
662102  8 0 14.9  -48 58 53  6.02
662331  18 9 33.8  3 59 36  5.73
662421  8 2 26.0  -6 20 14  6.33
662512  18 14 16.2  -63 41 22  6.47
662552  8 0 28.9  -48 52 17  6.12
662851  18 9 54.0  3 7 11  5.69
663412  7 59 40.2  -60 12 27  6.33
663422  7 59 37.6  -60 35 13  5.17
663581  8 1 37.4  -37 17 1  5.95
663931  18 11 14.8  -19 50 32  6.36
664351  8 2 06.2  -37 3 2  6.34
664412  8 0 49.9  -54 9 5  5.87
664601  18 10 40.3  3 19 27  5.51
664641  18 11 43.4  -23 42 4  4.98
664691  18 11 58.2  -28 54 5  6.51
664791  18 10 08.7  16 28 36  6.09
665462  8 1 22.9  -54 30 54  6.10
665912  8 0 20.0  -63 34 3  4.82
665962  18 13 12.6  -41 20 10  5.47
665981  8 3 04.1  -32 27 50  5.82
665992  18 15 40.9  -63 3 20  5.60
666072  8 1 31.5  -55 27 18  6.28
666242  8 2 44.8  -41 18 36  5.52
668111  8 3 35.1  -40 0 12  2.25
668122  8 3 29.5  -42 56 55  6.29
668341  8 4 41.5  -19 43 41  6.13
668412  18 18 00.9  -68 13 45  6.33
668881  8 4 16.2  -32 40 30  5.31
669202  7 59 16.1  -73 14 41  6.34
669371  18 13 45.8  -21 3 32  3.86
669501  8 5 49.6  0 34 25  6.41
669601  18 13 10.0  -4 0 42  6.59
670361  18 14 15.9  -21 42 47  5.44
670962  18 15 52.7  -44 12 24  5.46
671282  18 17 07.5  -56 1 24  5.33
671591  8 6 27.5  -9 14 42  6.23
672431  8 5 44.9  -33 34 9  6.14
672492  8 4 42.4  -50 35 26  5.95
672572  18 17 00.9  -51 4 6  6.06
672631  18 15 12.9  -20 23 17  5.95
672641  18 15 12.9  -20 43 42  5.38
673412  8 5 20.4  -46 58 44  6.19
673561  18 15 30.8  -18 39 41  6.07
673642  8 5 04.0  -53 6 29  5.53
674252  18 19 40.2  -63 53 13  6.18
674561  8 7 18.0  -20 33 17  5.38
674682  18 23 36.1  -75 2 39  5.47
675231  8 7 32.6  -24 18 15  2.81
675362  8 4 42.9  -62 50 10  6.30
675641  18 15 58.0  -3 37 3  6.36
675822  8 6 40.4  -45 15 59  5.05
675941  8 8 35.6  -2 59 2  4.34
676182  18 17 37.6  -36 45 42  3.11
676472  18 17 36.1  -34 6 26  6.16
676541  18 16 05.6  2 22 40  6.01
676651  18 17 23.7  -28 17 21  6.40
676661  18 17 24.0  -28 39 9  6.19
677142  18 29 19.5  -80 13 58  5.95
677201  18 17 11.6  -17 22 26  5.75
677251  8 8 56.9  -11 20 23  6.32
677511  8 8 43.5  -20 21 47  6.36
677562  18 18 40.0  -42 17 18  6.30
677681  18 16 53.1  -3 0 26  6.00
677711  18 17 28.5  -18 27 48  6.54
677971  8 9 01.6  -19 14 42  4.40
678181  18 18 03.2  -27 2 33  4.65
678331  18 17 24.2  -9 45 31  6.31
678581  18 17 04.8  1 0 21  6.63
678801  8 9 28.5  -16 14 56  5.68
678881  8 8 37.6  -37 40 53  6.37
679211  8 9 06.7  -30 19 21  6.65
679771  8 9 10.2  -35 27 18  6.20
679791  18 18 41.7  -25 36 17  6.51
680211  18 18 43.3  -18 37 10  6.84
680991  8 11 16.6  9 49 16  6.07
681461  8 10 39.8  -13 47 57  5.54
681612  8 9 09.6  -48 41 4  5.70
681991  18 18 02.9  13 46 37  6.30
682172  8 9 35.9  -44 7 22  5.21
682422  8 9 47.7  -42 38 26  6.26
682432  8 9 29.3  -47 20 45  4.27
682701  18 18 07.7  18 7 53  5.99
682732  8 9 32.0  -47 20 12  1.78
682901  8 11 16.3  -12 55 37  4.72
683121  8 11 33.0  -7 46 21  5.36
683242  8 9 43.2  -47 56 15  5.23
683392  18 23 13.6  -61 29 38  4.36
683572  18 20 55.3  -37 29 15  6.45
683871  18 19 09.5  7 15 35  5.39
684151  18 20 08.8  -15 49 54  5.39
684232  8 8 24.5  -63 48 4  6.28
684342  8 9 33.6  -56 5 8  5.66
684501  8 11 01.6  -37 17 32  6.44
684541  18 20 59.7  -29 49 41  2.70
684562  8 9 00.7  -61 18 9  4.76
685202  8 7 55.8  -68 37 2  4.35
685531  8 11 21.5  -39 37 7  4.45
685741  18 21 31.4  -24 54 54  6.25
685922  18 22 18.6  -38 39 25  5.10
686012  8 11 25.9  -42 59 14  4.75
686081  18 21 23.1  -18 51 36  5.75
686461  18 22 00.2  -28 25 48  6.16
686561  18 20 52.1  3 22 38  4.86
686572  8 11 11.1  -48 27 43  5.82
687231  18 21 18.6  -2 53 56  3.26
687332  18 22 53.1  -36 40 10  5.34
687402  18 25 31.5  -63 1 17  6.14
687521  8 13 20.0  -15 47 18  4.99
687581  8 12 46.0  -29 54 39  6.52
687971  18 21 28.5  5 26 9  6.13
688082  8 12 00.0  -46 38 39  5.76
688382  18 23 28.9  -36 14 18  5.55
688621  8 12 51.5  -37 55 28  6.43
688952  8 12 30.9  -46 15 51  6.03
689052  18 24 18.2  -44 6 37  5.25
689801  8 13 29.6  -35 53 59  4.78
690021  8 13 41.1  -33 34 9  6.37
690091  18 23 02.2  -10 13 7  6.33
690222  18 24 10.3  -34 23 5  1.85
690331  18 23 12.2  -12 0 53  5.73
690801  8 14 11.0  -32 8 27  6.06
690811  8 13 58.4  -36 19 21  5.08
690821  8 13 58.8  -36 20 28  6.11
691111  18 22 35.3  12 1 44  5.89
691231  8 14 13.2  -35 29 26  5.78
691422  8 14 02.9  -40 20 53  4.44
691442  8 13 36.2  -46 59 31  5.13
691561  18 23 39.5  -8 56 3  4.68
691911  18 22 49.0  17 49 36  5.25
691942  8 13 34.1  -50 11 46  5.51
692231  18 23 02.9  16 41 17  6.22
692332  18 25 01.5  -30 45 24  5.60
692362  18 25 21.7  -35 59 30  6.15
692671  8 16 30.9  9 11 8  3.52
692681  18 24 03.5  -3 35 0  6.38
693022  8 14 23.9  -45 50 4  5.83
693701  18 24 42.1  -7 4 31  6.31
693982  18 25 54.6  -33 56 43  6.30
694052  18 26 53.9  -48 7 1  5.46
694201  18 25 21.0  -20 32 30  4.81
694451  8 15 52.5  -30 55 33  6.21
694672  18 26 58.4  -45 58 6  3.51
694781  8 17 31.7  8 51 58  6.29
694931  18 24 57.0  -1 34 46  6.15
695111  8 15 58.9  -35 54 10  6.16
695702  18 32 55.3  -73 57 56  5.89
695781  18 25 08.8  5 5 5  6.74
695891  8 16 54.2  -21 19 13  6.60
695962  8 15 23.3  -50 26 58  6.44
696651  8 17 23.1  -16 17 6  6.16
696891  18 25 38.8  8 1 55  5.65
697672  18 28 49.9  -49 4 15  4.13
698201  18 25 55.4  14 58 0  6.37
698301  8 18 23.9  -12 37 55  5.98
698301  18 27 49.5  -29 48 59  5.92
698362  18 29 56.7  -57 31 23  5.76
698511  18 27 43.8  -26 38 5  6.31
698532  18 28 27.1  -38 59 44  5.64
698632  8 15 15.9  -62 54 57  5.16
698791  8 17 58.3  -30 0 12  6.45
699042  18 42 14.1  -81 48 28  6.27
699161  18 27 58.2  -25 25 18  2.81
699381  18 28 06.2  -26 45 26  6.27
699432  18 29 12.9  -43 50 45  6.36
699782  18 31 22.4  -62 16 42  4.64
699851  18 27 12.5  0 11 46  5.21
699901  18 27 56.5  -17 48 0  6.20
699971  8 19 15.1  -10 9 57  6.32
700021  8 18 17.4  -35 27 6  5.58
700031  8 18 12.6  -37 22 27  6.70
700131  8 19 49.9  3 56 52  6.05
700402  18 29 16.8  -38 51 4  6.63
700601  8 18 33.3  -36 39 34  4.45
700692  18 29 55.8  -47 13 13  5.70
701101  8 20 13.1  0 54 34  6.18
701371  18 27 50.3  3 44 55  6.07
701411  18 28 57.4  -26 34 54  6.5
701481  8 20 17.1  -5 19 45  6.13
702001  18 27 58.8  6 11 39  5.73
702351  8 19 29.4  -34 35 25  6.43
702351  18 29 22.0  -25 15 23  6.59
702672  8 17 55.8  -59 10 1  6.42
702961  18 29 11.9  -14 33 57  4.70
703021  8 20 27.4  -22 55 29  6.13
703401  8 21 20.2  -1 36 8  6.50
703842  18 31 03.0  -41 54 49  6.04
703971  18 29 46.8  -14 34 54  5.96
704331  18 30 11.9  -18 43 44  5.66
704421  8 21 21.2  -20 4 45  5.58
704652  18 31 45.4  -45 54 54  4.96
704741  18 29 41.0  -1 59 7  5.39
704792  18 31 04.8  -32 59 21  5.34
705142  8 18 18.9  -65 36 48  5.07
705212  18 31 56.2  -43 30 28  5.72
705231  8 21 54.6  -17 35 11  5.75
705232  18 32 02.0  -45 45 26  5.07
705252  18 33 29.5  -58 42 33  6.44
705471  18 30 14.3  -5 43 27  6.28
705551  8 21 23.0  -33 3 16  4.83
705561  8 21 21.0  -36 29 4  5.20
705741  8 22 30.2  -6 10 45  6.15
705801  18 30 05.1  4 3 55  6.69
706121  8 21 24.2  -39 37 15  6.16
706422  18 32 21.4  -39 42 14  5.16
706521  8 22 54.0  -7 32 36  5.96
706731  8 22 46.8  -13 3 17  6.11
706801  18 31 26.3  -18 24 10  5.14
707401  18 31 25.7  -10 47 45  5.72
707611  8 22 49.9  -26 20 53  5.90
707641  18 31 53.3  -19 7 30  6.68
707732  18 33 00.9  -39 53 32  6.22
708392  8 21 12.0  -57 58 23  5.97
708452  18 33 30.2  -42 18 45  4.64
708672  18 33 23.1  -38 43 34  5.65
708682  18 33 23.3  -38 43 13  6.32
708732  18 34 31.2  -52 53 31  6.22
708781  18 31 04.4  16 55 43  5.77
