10515   2.8  2.6  0.0  5.0 v   5.20
10517   6.4  2.0  0.0  5.0 v   8.80
10520   2.0  1.0  0.0  7.0 v   2.00
10521   6.0  2.4  0.0  5.0 v   4.60
10529   0.3  0.9  0.9  7.5 v   1.00
10531   3.0  0.0  0.0  6.5 v   4.30
10537   6.0  2.4  0.0  5.5 v   5.10
10539   2.0  2.0  0.0  6.0 v   2.80
10541   2.6  2.2  0.0  5.5 v   5.70
10544   0.3  0.9  0.9  7.5 v   1.00
10582   2.8  2.6  0.0  5.0 v   5.40
10591   6.0  2.4  0.0  7.0 v   6.80
10594   0.3  0.9  0.9  7.5 v   1.00
10600   6.0  2.4  0.0  6.0 v   6.00
10637   4.3  1.3  0.0  6.0 d   7.60
10669   3.0  2.0  0.0  6.0 d   2.50
10674   1.7  1.6  0.0  8.0 v   1.50
10675   0.8  0.9  0.0  6.5 v   1.50
10676   2.0  1.0  0.0  7.0 v   2.30
10677   6.0  2.4  0.0  5.5 v   4.70
10693   6.0  2.4  0.0  5.5 v   4.50
10702   3.0  1.5  0.0  6.5 v   3.00
10704   3.0  2.0  0.0  7.0 v   5.10
10732   6.0  2.4  0.0  6.0 v   4.40
10745   6.0  2.4  0.0  6.0 v   5.60
10777   6.0  2.4  0.0  5.5 v   4.70
10778   4.0  2.0  0.0  6.0 d  10.00
10793   6.0  1.4  0.0  5.0 v  10.00
10820   6.4  1.7  0.0  6.0 v   6.30
10856   6.4  2.0  0.0  6.0 v  11.00
10861   2.8  2.6  0.0  5.0 v   6.20
10918   6.0  2.4  0.0  6.0 v   6.40
10938   6.0  2.4  0.0  7.5 v   6.30
10941   4.0  2.0  0.0  3.5 v  10.00
10954   6.0  1.4  0.0  5.5 v  10.00
10961   2.0  1.0  0.0  7.0 v   4.00
10962   6.0  2.4  0.0  6.0 v   4.60
10967  21.0  1.5  0.0  4.0 v  10.00
10974   2.6  2.2  0.0  5.0 v   5.10
10992   6.0  2.4  0.0  5.5 v   4.50
11051   6.0  2.4  0.0  7.0 v   6.10
11057   4.0  2.0  0.0  6.0 v  15.00
11060   3.7  1.9  0.0  6.5 v   5.50
11080   3.0  2.0  0.0  6.0 v   4.00
11081   6.0  1.4  0.0  5.5 v   8.60
11084   3.0  0.0  0.0  6.0 v   4.50
11087   2.6  2.2  0.0  6.0 v   5.70
11111   2.0  1.0  0.0  7.0 v   2.20
11112   6.0  2.4  0.0  5.5 v   5.80
11136   6.0  2.4  0.0  7.5 v   6.70
11165   5.0  1.5  0.0  6.0 v   5.20
11166   2.8  2.6  0.0  5.5 v   6.10
11170   6.0  2.4  0.0  5.5 v   8.10
11239   6.0  2.4  0.0  5.5 v   4.70
11251   5.0  1.5  0.0  5.5 v   7.30
11267   2.6  2.2  0.0  5.5 v   4.90
11288   5.0  1.5  0.0  6.0 v   4.80
11289   2.8  2.6  0.0  5.0 v   6.20
11304   6.0  2.4  0.0  7.5 v   6.40
11309   6.0  2.4  0.0  6.0 v   5.30
11321   6.0  2.4  0.0  8.0 v   4.90
11327   6.0  2.4  0.0  5.0 v   9.00
11379   6.0  2.4  0.0  6.0 v   4.60
11389   6.4  1.7  0.0  7.0 v   7.00
11397   5.0  2.0  0.0  5.5 v  10.00
11416   3.7  1.9  0.0  5.5 v   5.50
11425   2.0  1.0  0.0  7.0 v   2.30
11427   6.0  2.4  0.0  5.5 v   4.90
11510   2.0  1.0  0.0  7.0 v   2.30
11511   6.0  2.4  0.0  5.0 v   5.00
11546   6.0  2.4  0.0  7.5 v   6.20
11558   4.0  2.0  0.0  4.0 v  10.00
11573   2.0  1.0  0.0  7.5 v   2.10
11574   6.0  2.4  0.0  5.0 v   5.80
11586   6.0  2.4  0.0  6.5 v   5.90
11601   2.8  2.6  0.0  5.5 v   5.90
11605   5.0  1.5  0.0  6.0 v   5.50
11608   2.8  2.6  0.0  5.0 v   6.10
11636   6.0  1.4  0.0  5.5 v  10.00
11668   6.0  2.4  0.0  6.0 v   9.40
11669   3.0  2.0  0.0  6.5 v   8.10
11671   3.0  1.1  0.0  5.0 v   8.00
11672   2.6  2.2  0.0  5.0 v   4.60
11681   6.0  2.4  0.0  5.5 v   6.10
11683   2.8  2.6  0.0  5.0 v   7.30
11699   6.0  2.4  0.0  7.0 v   8.90
11720   0.3  0.9  0.9  7.5 v   2.00
11731   0.3  0.9  0.9  7.5 v   1.00
11732   0.3  0.9  0.9  7.5 v   1.00
11736   6.0  2.4  0.0  6.0 v   4.80
11745   0.3  0.9  0.9  7.5 v   1.00
11751   6.0  2.4  0.0  5.5 v   5.10
11765   2.0  0.0  0.0  6.0 v   4.20
11788   2.0  2.0  0.0  7.0 v   2.80
11804   6.0  2.4  0.0  5.5 v   4.70
11822   2.8  2.6  0.0  5.5 v   5.80
11841   3.0  0.0  0.0  6.5 v   4.00
11849   2.8  2.6  0.0  5.5 v   6.20
11852   0.8  0.5  0.0  9.5 v   2.00
11869   2.0  1.0  0.0  7.0 v   2.10
11870   6.0  2.4  0.0  5.5 v   4.60
11883   6.0  2.4  0.0  7.5 v   6.10
11933   2.8  2.6  0.0  5.0 v   5.80
11962   5.0  1.5  0.0  6.0 v   5.60
11963   2.8  2.6  0.0  5.5 v   6.40
12046   5.0  2.0  0.0  6.5 v  30.00
12054   6.0  0.0  0.0  4.0 v  13.00
12069   8.6  3.0  0.0  3.5 v  21.00
12071   5.0  1.5  0.0  5.5 v   8.80
12072   2.8  2.6  0.0  5.0 v   5.10
12088   6.0  2.4  0.0  6.0 v   4.90
12089   4.0  2.0  0.0  6.0 d   7.50
12092   6.0  2.4  0.0  6.5 v   4.70
12115   6.0  2.4  0.0  7.0 v   6.40
12138   1.8  1.5  0.0  7.0 v   3.00
12139   6.0  2.4  0.0  5.0 v   9.10
12150   6.0  2.4  0.0  5.5 v   5.20
12154   5.0  1.5  0.0  5.5 v   8.80
12155   2.8  2.6  0.0  5.0 v   5.10
12156   4.0  2.0  0.0  5.5 d  16.00
12298   6.0  2.4  0.0  5.5 v   4.80
12319   2.0  2.0  0.0  6.5 v   4.50
12328   6.0  2.4  0.0  7.5 v   5.90
12339   4.0  2.0  0.0  5.5 v  10.00
12363   8.6  3.0  0.0  3.5 v  21.00
12388   1.8  1.5  0.0  7.0 v   3.10
12389   6.0  2.4  0.0  4.5 v   7.40
12409   2.0  2.0  0.0  6.5 v   3.50
12442   2.0  1.0  0.0  7.0 v   2.20
12443   6.0  2.4  0.0  5.5 v   4.60
12445   8.6  3.0  0.0  5.0 v  20.00
12456   5.0  1.5  0.0  6.5 v   5.70
12457   2.8  2.6  0.0  6.0 v   6.90
12464   5.0  1.5  0.0  5.5 v   8.10
12465   2.8  2.6  0.0  5.0 v   6.00
12474   4.0  2.0  0.0  7.0 v   4.00
12497   8.6  3.0  0.0  4.0 v  21.00
12508   6.0  2.4  0.0  5.0 v   5.10
12532   3.4  0.0  0.0  5.7 d   7.20
12545   2.0  1.0  0.0  7.5 v   3.80
12553   3.7  1.9  0.0  7.0 v   3.80
12585   5.0  1.5  0.0  6.0 v   4.90
12586   2.8  2.6  0.0  5.0 v   7.90
12618   4.0  2.0  0.0  5.5 d   6.30
12644   6.0  2.4  0.0  7.5 v   5.70
12645   3.0  0.0  0.0  5.5 v   5.70
12646   2.8  2.6  0.0  5.5 v   5.90
12682   6.0  2.4  0.0  5.5 v   8.90
12783   2.0  2.0  0.0  7.0 v   2.80
12785   6.0  2.0  0.0  5.0 v   7.60
12786   2.6  2.2  0.0  5.5 v   4.00
12791   2.0  1.0  0.0  7.5 v   2.20
12792   6.0  2.4  0.0  5.5 v   8.70
12804   6.0  2.4  0.0  6.0 v   4.80
12836   6.0  2.4  0.0  6.0 v   4.50
12848   2.8  2.0  0.0  5.5 v   8.30
